Choisy-en-Brie,1
Collégien,1
Combs-la-Ville,0
Coulommiers,0
Courtacon,1
Croix-en-Brie (La),1
Crouy-sur-Ourcq,1
Cucharmoy,1
Dagny,1
Dammarie-les-Lys,0
Darvault,0
Diant,1
Dormelles,1
Egreville,1
Emerainville,1
Everly,1
Evry-Grégy-sur-Yerre,0
Favières,1
Faÿ-lès-Nemours,0
(1) Féricy,1
Ferté-Gaucher (La),0
Fontaine-le-Port,0
Fontenailles,1
Genevraye (La),0
Gouaix,1
Grande-Paroisse (La),0
Grandpuits-Bailly-Carrois,1
Grez-sur-Loing,0
Gurcy-le-Châtel,1
Héricy,0
Hondevilliers,1
Jouy-le-Châtel,1
Jouy-sur-Morin,0
Lescherolles,0
Lésigny,1
Livry-sur-Seine,0
Lorrez-le-Bocage-Préaux,1
Machault,1
Madeleine-sur-Loing (La),0
Mée-sur-Seine (Le),0
Meilleray,0
Melun,0
Montcourt-Fromonville,0
Montdauphin,0
Montereau-Fault-Yonne,0
Montévrain,0
Montigny-sur-Loing,0
Moret-Loing et Orvanne,0
Nandy,0
Nanteau-sur-Essonne,0
Nanteau-sur-Lunain,1
Nemours,0
Neufmoutiers-en-Brie,1
Nonville,1
Pécy,1
Perthes,1
Poligny,1
Pontault-Combault,1
Pringy,1
Provins,1
Rochette (La),0
Sablonnières,0
Saint-Ange-le-Viel,1
Saint-Barthélemy,1
Saint-Brice,1
Saint-Cyr-sur-Morin,0
Saint-Denis-lès-Rebais,1
Saint-Fargeau-Ponthierry,0
Saint-Germain-sur-Ecole,1
Saint-Hilliers,1
Saint-Just-en-Brie,1
Saint-Mammès,0
Saint-Martin-du-Boschet,1
Saint-Pierre-lès-Nemours,0
Saints,1
Saint-Sauveur-sur-Ecole,1
Saint-Siméon,0
Samois-sur-Seine,0
Samoreau,0
Savigny-le-Temple,1
Seine-Port,0
Sivry-Courtry,1
Sognolles-en-Montois,1
Soisy-Bouy,1
Souppes-sur-Loing,0
Thomery,0
Thorigny-sur-Marne,0
Thoury-Férottes,1
Torcy,0
Trétoire (La),0
Treuzy-Levelay,1
